intra,HB,cg,1050,1219,1314,1409,1550,1609
13.1,98.0,598.2,4.463370274118503,4.374882837611622,3.770016847271112,8.206974180078603,5.619516543255404,4.379835545562958
3.1,36.2,410.6,4.2548016392472086,4.264075326383054,3.7134165556892427,9.306125496658488,5.353806764347674,4.353945341439591
8.3,189.3,170.3,4.197874833908127,4.064283469035733,4.027789322904404,9.052836999726967,6.157532155208219,4.821480531342978
17.7,193.7,155.3,3.536840569465763,3.518651112677908,3.4928956645368796,8.199612853544181,6.956270273958477,5.06302181863979
10.4,130.6,484.9,4.038031825740447,3.9654308032750762,3.6824533186780055,9.302527885341721,5.948992909298148,4.780345793473462
11.7,105.7,486.8,2.971343009635623,3.3104601628009576,3.2667314271336583,8.741918879520998,6.2135024511977015,4.882618252312739
10.3,44.6,486.1,3.660049618846223,3.9483686765463197,3.7421434028872795,6.811051083542704,5.618921014258678,4.683156944295231
11.8,16.1,80.8,2.3829635649639958,3.1187743179397778,3.1954951153406075,8.086739816236488,6.135106984032806,4.976140805273051
15.5,54.9,761.1,3.2820643410525,3.5305560649710337,3.40401981794062,8.768692912832503,6.152055012809772,4.908069612897695
11.3,80.0,593.8,3.8376757107227792,3.971932086691295,3.745168036338656,7.613849514674293,5.90861174490075,4.624399255192966
12.3,14.2,64.4,3.62367634487339,4.021712163017192,3.8251951682524137,9.992972197644235,5.776135363134145,4.7232935402646525
6.7,103.9,77.8,3.0461762191307216,3.5133607452934275,3.428822516009083,8.143861081776997,6.321177379049772,5.017472287627154
5.1,160.2,396.3,5.076772173451751,4.673496131576652,3.909005511249248,8.779807231920284,5.57548948797713,4.480657613241377
13.8,198.8,517.3,3.037500358248746,3.2726399573180434,3.1752124574037257,7.420260490724605,6.286516451434196,4.985006720249533
5.3,142.0,208.2,3.9263896948363595,3.9020027784760423,4.0284462141798745,10.248873919220692,6.163416915570956,4.6282856866421085
12.0,196.0,383.3,4.959526938196795,4.533056376777285,4.207105051244259,7.9680264529097755,5.1674973894324445,4.296868814399538
3.8,67.7,968.2,2.465223568938624,2.935210200106269,2.98007135452049,7.597067003996692,5.726266326426369,4.812565174520614
8.2,148.1,950.3,4.611949632407782,4.015841953574885,3.8147600021694803,7.133544479363486,5.658771796622858,4.299026785540065
3.5,180.1,23.7,4.027228956280673,3.997303697034292,3.852273245269128,9.268610768749596,6.03378417382261,4.706803304985666
18.0,98.8,344.0,4.944267913876892,4.401543626004674,3.9696799243308654,9.05066132936031,5.336685348178545,4.28893550527291
2.9,122.6,41.9,2.5366633167278785,2.9987701570153256,3.047289295815009,7.946730462492432,6.336079617470002,4.973429194669123
16.1,76.4,563.8,4.569753803496464,4.1506288329413685,3.838995485885331,7.534865975996308,5.025591041264633,4.4121723605492775
11.3,6.5,736.0,3.4231507587735646,3.9432848045648115,3.6411974180430473,7.101081597921212,5.475496048849603,4.430371383160747
14.0,189.1,360.4,4.482576773841352,4.708524016031269,4.14387704727509,7.476395760015517,5.170928768680945,4.31926612319036
14.4,76.9,404.0,3.7086604380088453,3.866075743920616,3.755825475506427,7.853224346606687,6.005980195875537,4.597132513265674
15.0,99.3,973.8,4.527696976806691,4.279448886190053,3.862981677762461,8.268068377313611,4.996831541889772,4.077610994218148
14.9,67.4,850.3,2.1868246772942506,2.744972975262627,2.839316099902298,7.927987333917368,6.070890687040606,5.024912717706481
19.3,186.8,138.1,3.959365223980239,4.0875549937726845,3.9461670624920515,10.170109839550125,5.7778671618651956,4.726663539573959
8.7,138.8,826.6,3.0623373929843964,3.29986193636884,3.242067744432184,7.609857140450082,6.200414670537434,5.019658447383971
18.7,40.1,741.4,2.6442662195593627,3.229628893359841,3.1520303321552188,7.611840687479436,6.095039911320342,5.027601250922636
2.9,6.6,444.3,2.026137115913375,2.818529226202836,2.9494718393549757,7.7436968348798025,5.935962322170287,5.118718618027419
14.2,95.4,445.3,4.367661532725876,4.1461984859492595,3.8355552655319496,8.610160613204492,5.1242225662954155,4.583883926925186
9.0,147.5,694.7,4.777222645556996,4.363080738933814,3.724537560712129,10.291095286866277,5.5752325715263,4.197698765125086
17.8,32.1,299.2,2.4413673498132233,3.0809473963165708,3.0949135694546843,8.622955538620538,5.978997626244304,5.039370793020968
18.5,134.9,714.0,3.7279454117151847,3.6521984431005468,3.565394640872702,7.516900316749233,6.417555719789444,4.66175775962304
12.2,82.7,415.6,4.1401826240780935,3.957453922853997,3.856510405956783,8.960949500803125,5.679534176729437,4.483408616019467
19.7,148.2,655.9,3.172819670802797,3.2829547188220225,3.2307500449200237,7.763943534665771,6.064217483101078,4.880598472179088
10.2,32.9,49.5,4.14533270375258,4.071264166472801,3.891615186113345,9.59691635399452,5.405371289969494,4.549405243701667
19.3,87.2,656.6,3.837023946639846,4.203135294435885,3.797250072537114,7.659721084516775,5.516887018243917,4.606213001185125
5.4,179.8,878.1,4.206217048140488,3.916665571012947,3.574330830985975,7.471354329905193,6.003895906234202,4.7125200794993525
6.1,38.5,848.5,4.033418240642117,4.116426260229879,3.8126834790162363,8.649543027240881,5.205582295435303,4.2454353951680766
4.9,27.1,189.4,2.1612047237867493,2.8558022861670427,3.007375227527726,7.800195157466472,6.365185993543765,5.013299915247412
19.6,75.1,132.0,3.2315632154518585,3.541397877592944,3.4780626753044306,8.650313875235423,6.417276415216438,4.930410980115685
5.5,69.4,529.9,3.4311125953744117,3.773449186064271,3.4934323785142283,9.335278209566678,6.009348215306471,4.763100413194383
12.4,172.9,698.6,4.140495797810448,4.00831205853504,3.7033328242054093,6.518174494633854,6.269689729374761,4.640323285691284
13.2,183.3,46.3,5.344209595846067,4.397730016956263,3.8940483756907582,9.19381707991112,5.8916461789913015,4.434466906860649
14.4,27.8,429.0,3.4411326374087086,3.8406339001237733,3.6761192050848823,7.886648110972242,5.629047375809222,4.58191709654476
14.4,2.8,80.9,3.3814644008956964,3.800707566658035,3.821338393980307,6.777082292835058,5.957929223560409,4.610558516344916
15.8,190.8,642.5,2.9676706348946844,3.177697463905922,3.109293234912041,7.660005245247856,6.503081365451738,4.978628289623611
15.7,189.5,724.2,3.3106423727113974,3.3889915830609727,3.2141261538678148,7.503227315329674,6.262099049205069,5.0738474212685105
3.9,6.8,731.9,1.974063844976369,2.714927350656014,2.827753815726661,7.479715461815406,6.0859267784686715,4.948580270269719
11.0,183.0,62.0,3.7197416463892345,4.619141709477386,3.992622922489474,7.330268663284624,5.680264202565919,4.3411804050903555
13.7,145.8,439.0,3.1852398471303545,3.47058254038833,3.316286083315969,7.7744178965785515,5.918915067063541,4.903950051592712
9.2,149.4,543.6,4.06522706494831,3.9951441264895067,3.8735886233422026,9.333994908269073,5.264598865786162,4.502430348960811
7.9,96.0,376.8,2.411135096335009,2.9007828916220344,2.97408077876236,7.511741570858177,5.768401799243918,5.203286266477907
13.1,198.0,27.7,5.628680920612407,4.642914842511072,4.087994063799794,7.798575696649756,5.90380008299941,4.482498988634962
12.0,30.0,903.4,4.474087184090788,4.290821037472362,3.6402311251547363,7.9320619519664675,4.8159853091127225,4.246967562564684
19.2,100.9,349.8,4.591283857049248,4.313409170228233,3.9033883734413966,7.953684978243146,5.457172888019127,4.617166301402122
8.4,130.1,560.0,4.051325116355658,3.938714581078811,3.714453485678815,9.600789470620683,5.8546081319617365,4.719611452913046
10.3,134.7,470.3,4.079272686193679,4.29464517153999,3.8720526484166697,6.8161108211787145,5.37124564935414,4.695401901522651
7.1,38.8,322.9,4.284812955823934,4.164572843986797,3.8070525093547616,10.07663965221559,5.387329808263107,4.304396326829071
15.0,134.3,637.4,4.928075560718767,4.524557557556953,3.8923324566107453,8.745500460789671,4.831125743808133,4.236012061418446
3.6,47.0,804.1,2.9445703688575247,3.3645805719074886,3.241174601968158,8.252537776959468,5.71761182200143,4.796321200208897
2.8,46.2,990.6,2.3714691468897477,2.9200483206697143,2.9470844037725694,7.962077227042698,6.00450425999081,4.986626450734242
18.4,14.3,604.2,3.332013396134201,3.8350727779088096,3.567958561436983,7.590086839324389,6.194129714745976,4.729215458188538
9.6,112.4,460.3,3.2808080262423935,3.456349254760571,3.461562242764419,7.257312134041836,6.353601098868513,4.942399847578269
8.0,51.5,3.6,4.805809431350738,4.434520332897613,3.915567541549521,7.71072311107261,5.188637516431928,4.281858453118648
11.1,150.1,570.3,5.175787534586508,4.237132228825818,3.8842887973134843,7.701193209025536,4.988946217926724,4.327290828935794
10.1,165.6,903.6,4.752819032632036,4.108168044193874,3.9939034248266,8.967791489877062,5.546425423924337,4.3939086034694235
